[2026-01-21 16:54:21] [INFO    ] discord.client: logging in using static token
[2026-01-21 16:54:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-21 16:54:21] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-21 16:54:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1462427892997947433', 'username': 'Testing Bot', 'avatar': None, 'discriminator': '9695', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-21 16:54:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-21 16:54:21] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-21 16:54:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1462427892997947433', 'name': 'Testing Bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1462427892997947433', 'username': 'Testing Bot', 'avatar': None, 'discriminator': '9695', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '0a62e845df452971b708d6b20c1c0693f5078ef907f75420894388eb5f94995d', 'flags': 11051008, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '354960440062771201', 'username': '.overman', 'avatar': 'f2c25907858dd1d659722c8643957204', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'Overman', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1349849614227865711', 'asset': 'nameplates/nameplates/koi_pond/', 'label': 'COLLECTIBLES_NAMEPLATES_KOI_POND_A11Y', 'palette': 'sky'}}, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '516367331358801950', 'identity_enabled': True, 'tag': 'D&D', 'badge': '4ef966b9bdd3ca7155e184e893314cd6'}, 'primary_guild': {'identity_guild_id': '516367331358801950', 'identity_enabled': True, 'tag': 'D&D', 'badge': '4ef966b9bdd3ca7155e184e893314cd6'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-21 16:54:22] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-01-21 16:54:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-64cx",{"micros":0.0}]']}}
[2026-01-21 16:54:22] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-01-21 16:54:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-21 16:54:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Testing Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1462427892997947433', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9695', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '0393df6932348b80682226ad604a36ff', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '623549264131260416'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['frankfurt', 'warsaw', 'milan', 'rotterdam', 'paris'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1462427892997947433', 'flags': 11051008}, '_trace': ['["gateway-prd-arm-us-east1-c-64cx",{"micros":330266,"calls":["id_created",{"micros":977,"calls":[]},"session_lookup_time",{"micros":1156,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-125",{"micros":326703,"calls":["start_session",{"micros":305334,"calls":["discord-api-rpc-5c7cfb84b9-8zqgs",{"micros":265877,"calls":["get_user",{"micros":23808},"get_guilds",{"micros":4303},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":584},"apex_experiments",{"micros":32255},"user_activities",{"micros":7},"played_application_ids",{"micros":4},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":10}]}]},"starting_guild_connect",{"micros":34,"calls":[]},"presence_started",{"micros":5874,"calls":[]},"guilds_started",{"micros":60,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":15338,"calls":[]},"connect_finished",{"micros":15351,"calls":[]},"build_ready",{"micros":45,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-01-21 16:54:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 16:54:22] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0393df6932348b80682226ad604a36ff).
[2026-01-21 16:54:22] [DEBUG   ] discord.client: Dispatching event connect
[2026-01-21 16:54:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'splash': None, 'members': [{'user': {'username': 'Testing Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1462427892997947433', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9695', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1462428031720231090'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-18T12:46:53.437135+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'banner': None, 'afk_channel_id': None, 'afk_timeout': 300, 'lazy': True, 'emojis': [], 'guild_scheduled_events': [], 'moderator_reporting': None, 'profile': None, 'stickers': [], 'embedded_activities': [], 'member_count': 5, 'id': '623549264131260416', 'name': 'DnD', 'joined_at': '2026-01-18T12:46:53.437135+00:00', 'roles': [{'version': 1768245708847, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465839169', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '623549264131260416', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1768740890476, 'unicode_emoji': None, 'tags': {'bot_id': '1460342433198903542'}, 'position': 12, 'permissions': '8', 'name': 'DnD_Bot', 'mentionable': False, 'managed': True, 'id': '1460344088254480730', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 16753920}, 'color': 16753920}, {'version': 1768577533264, 'unicode_emoji': None, 'tags': {}, 'position': 9, 'permissions': '0', 'name': 'Ignis', 'mentionable': False, 'managed': False, 'id': '1460353149138243614', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1768577543789, 'unicode_emoji': None, 'tags': {}, 'position': 7, 'permissions': '8864258447637503', 'name': 'Unda', 'mentionable': False, 'managed': False, 'id': '1460402955114119262', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1768393526157, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '0', 'name': 'bleeding', 'mentionable': False, 'managed': False, 'id': '1460616361297318065', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15158332}, 'color': 15158332}, {'version': 1768393526153, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '0', 'name': 'poisoned', 'mentionable': False, 'managed': False, 'id': '1460616418520338487', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}, {'version': 1768393526149, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '0', 'name': 'cold', 'mentionable': False, 'managed': False, 'id': '1460616483863269397', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1768393526147, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'hot', 'mentionable': False, 'managed': False, 'id': '1460616534157426711', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15105570}, 'color': 15105570}, {'version': 1768393526143, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'concussed', 'mentionable': False, 'managed': False, 'id': '1460616586674049168', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 6323595}, 'color': 6323595}, {'version': 1768577548760, 'unicode_emoji': None, 'tags': {}, 'position': 6, 'permissions': '0', 'name': 'Aeris', 'mentionable': False, 'managed': False, 'id': '1460972400668840028', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 16777215}, 'color': 16777215}, {'version': 1768577538899, 'unicode_emoji': None, 'tags': {}, 'position': 8, 'permissions': '0', 'name': 'Terra', 'mentionable': False, 'managed': False, 'id': '1460972593837379741', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 4456192}, 'color': 4456192}, {'version': 1768577553362, 'unicode_emoji': None, 'tags': {}, 'position': 10, 'permissions': '0', 'name': 'Duch', 'mentionable': False, 'managed': False, 'id': '1460972877741428758', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 9807270}, 'color': 9807270}, {'version': 1768741026963, 'unicode_emoji': None, 'tags': {'bot_id': '1462427892997947433'}, 'position': 11, 'permissions': '8864258447638527', 'name': 'Testing Bot', 'mentionable': False, 'managed': True, 'id': '1462428031720231090', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'threads': [], 'premium_progress_bar_enabled': False, 'nsfw_level': 0, 'soundboard_sounds': [], 'verification_level': 0, 'premium_tier': 0, 'voice_states': [], 'description': None, 'stage_instances': [], 'public_updates_channel_id': None, 'channels': [{'version': 1768254433321, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Textové kanály', 'id': '623549264131260417', 'flags': 0}, {'version': 1768259996153, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '623549264131260417', 'name': 'testing', 'last_pin_timestamp': '2021-05-16T10:32:20+00:00', 'last_message_id': '1463575276167499799', 'id': '623549264131260418', 'flags': 0}, {'version': 1768260222490, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'name': 'database', 'last_message_id': '1460648378286211196', 'id': '1460363556230008957', 'flags': 0}, {'version': 1768260222478, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'name': 'commands', 'last_message_id': '1460404504187895889', 'id': '1460389613259722908', 'flags': 0}, {'version': 1768259996113, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'name': 'improvements', 'last_message_id': '1461800974174781536', 'id': '1460411964852535427', 'flags': 0}, {'version': 1768317418040, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '623549264131260417', 'name': 'code-update', 'last_message_id': '1461018201759416463', 'id': '1460653860732272844', 'flags': 0}], 'region': 'deprecated', 'application_id': None, 'vanity_url_code': None, 'safety_alerts_channel_id': None, 'max_stage_video_channel_users': 50, 'system_channel_id': '623549264131260418', 'premium_subscription_count': 0, 'latest_onboarding_question_id': None, 'owner_id': '354960440062771201', 'hub_type': None, 'large': False, 'owner_configured_content_level': 0, 'preferred_locale': 'en-US', 'incidents_data': None, 'explicit_content_filter': 0, 'inventory_settings': None, 'rules_channel_id': None, 'presences': [], 'default_message_notifications': 0, 'premium_features': None, 'home_header': None, 'icon': None, 'discovery_splash': None, 'features': ['PIN_PERMISSION_MIGRATION_COMPLETE', 'BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE'], 'max_members': 25000000, 'max_video_channel_users': 25, 'system_channel_flags': 0, 'version': 1768245708933, 'nsfw': False, 'activity_instances': [], 'application_command_counts': {}, 'unavailable': False, 'mfa_level': 0}}
[2026-01-21 16:54:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 16:54:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '9b36430dd2c950e15e5439e9d4523118', 'members': [{'user': {'username': 'blodyx', 'public_flags': 128, 'primary_guild': {'tag': '.gd', 'identity_guild_id': '1235157165589794909', 'identity_enabled': True, 'badge': '7d3ef7d698b97deb8b1d11b81dda1e6e'}, 'id': '339307101551591432', 'global_name': 'Blodyx', 'display_name_styles': None, 'display_name': 'Blodyx', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1382845914225442886', 'palette': 'bubble_gum', 'label': 'COLLECTIBLES_NAMEPLATES_VOL_3_BONSAI_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates_v3/bonsai/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1366494385608331304', 'expires_at': None, 'asset': 'a_a19b7e105ab06eb1f366a3db6d5651fa'}, 'avatar': 'ffa4ed4396714bf9ba0b943c97bdab8b'}, 'roles': ['1460972400668840028', '1460972877741428758'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-13T14:42:52.755000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': '.overman', 'public_flags': 128, 'primary_guild': {'tag': 'D&D', 'identity_guild_id': '516367331358801950', 'identity_enabled': True, 'badge': '4ef966b9bdd3ca7155e184e893314cd6'}, 'id': '354960440062771201', 'global_name': 'Overman', 'display_name_styles': None, 'display_name': 'Overman', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614227865711', 'palette': 'sky', 'label': 'COLLECTIBLES_NAMEPLATES_KOI_POND_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/koi_pond/'}}, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f2c25907858dd1d659722c8643957204'}, 'roles': ['1460972593837379741'], 'premium_since': None, 'pending': False, 'nick': 'Kaelen', 'mute': False, 'joined_at': '2019-09-17T16:02:09.560000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'kroduk_', 'public_flags': 0, 'primary_guild': {'tag': 'REAL', 'identity_guild_id': '378368940889473025', 'identity_enabled': True, 'badge': 'c8d016eed5c8752316ca38fdd54380c6'}, 'id': '530067978704781331', 'global_name': 'Hádankář', 'display_name_styles': None, 'display_name': 'Hádankář', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ce5700a5c6299019e44a16f215e6c8b7'}, 'roles': ['1460402955114119262'], 'premium_since': None, 'pending': False, 'nick': 'Hádankář', 'mute': False, 'joined_at': '2026-01-12T23:02:38.732000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Adventure Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1460342433198903542', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2926', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '1817e379b8e6d27a2b8282086b3179c8'}, 'roles': ['1460344088254480730'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-12T18:46:02.611000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Testing Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1462427892997947433', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9695', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1462428031720231090'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-18T12:46:53.437135+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '623549264131260416', 'chunk_index': 0, 'chunk_count': 1}}
[2026-01-21 16:54:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 16:54:22] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 623549264131260416.
[2026-01-21 16:54:24] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-01-21 16:54:24] [DEBUG   ] discord.client: Dispatching event ready
